"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","A_S"
"110","XHN","BHJ","F","AFROCOLOMBIAN",85.3333333333333,32.2447078308576,13.7,"CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",2,"AGREE","DONTKNOW","DONTKNOW","DONTKNOW",10,133,0,4,3850,1,2,1,3
"111","XM8","M9Y","F","EMBERA",34.0833333333333,26.9752066115702,19.4,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","NO",0,"DONTKNOW","DONTKNOW","DISAGREE","DONTKNOW",19,16,0,6,380,2,2,2,8
"112","XNG","PWR","M","AFROCOLOMBIAN",53.5,22.9705689585219,33.575,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",13,76,2,2,3630,2,2,2,2
"113","XW3","M8K","M","AFROCOLOMBIAN",57.8333333333333,19.3959936915943,30.85,"NONE","MORETHANONCEPERWEEK","EVERYDAY","YES",1,"AGREE","DISAGREE","DISAGREE","DISAGREE",0,2,0,8,8150,1,1,1,8
"114","XY3","HXQ","F","AFROCOLOMBIAN",38.4166666666667,22.3371011920836,21.325,"CATHOLIC","MORETHANONCEPERWEEK","EVERYDAY","NO",9,"AGREE","DISAGREE","DISAGREE","DISAGREE",19,130,0,2,4830,1,1,2,10
"115","XZQ","TZH","M","AFROCOLOMBIAN",29.8333333333333,25.15465219038,56.25,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"AGREE","AGREE","DISAGREE","DISAGREE",18,45,0,3,8630,2,1,1,32
"116","Y3C","WAK","M","AFROCOLOMBIAN",52,21.6796875,30.625,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"DONTKNOW","DISAGREE","DISAGREE","AGREE",14,68,0,7,4334,2,1,1,1
"117","Y4W","KYQ","F","AFROCOLOMBIAN",80.4166666666667,28.0903739612188,20.8,"CATHOLIC","MORETHANONCEPERWEEK","EVERYDAY","DONTKNOW",0,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",17,119,6,5,3330,1,1,2,2
"118","Y80","NUZ","F","AFROCOLOMBIAN",21.3333333333333,26.0374939913475,27.9,"NONE","AFEWTIMESPERYEAR","EVERYDAY","YES",10,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",20,2,0,1,4450,2,1,1,4
"119","YDJ","K0J","M","AFROCOLOMBIAN",57.25,25.2976190476191,50.3,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"DISAGREE","AGREE","DISAGREE","AGREE",19,150,0,3,50330,2,1,2,12
"120","YDY","CRA","F","AFROCOLOMBIAN",39.3333333333333,30.5279136447968,36.4,"NONE","AFEWTIMESPERYEAR","EVERYDAY","YES",2,"AGREE","DISAGREE","AGREE","DISAGREE",17,65,0,3,3460,2,1,1,3
"121","YF0","U2H","F","AFROCOLOMBIAN",78.25,27.818869165023,20.525,"CATHOLIC","ONCEPERWEEK","EVERYDAY","DONTKNOW",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",5,75,6,6,3150,1,1,2,3
"122","YH4","CP1","M","AFROCOLOMBIAN",40.1666666666667,34.2174981646398,62.775,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",11,"AGREE","DISAGREE","AGREE","AGREE",9,52,0,2,11030,2,2,1,17
"123","YHV","D4D","F","AFROCOLOMBIAN",28.25,25.4308362416471,29.8,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,26,4,4,1530,2,2,2,3
"124","YNV","D8X","F","AFROCOLOMBIAN",65.0833333333333,26.6299357208448,21.325,"CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",6,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",5,33,15,4,4340,1,1,1,3
"125","YQN","S0B","F","AFROCOLOMBIAN",50.5833333333333,38.7513007284079,23.55,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,68,0,7,3830,2,1,2,3
"126","Z3Q","M5U","M","AFROCOLOMBIAN",69.4166666666667,21.3856471368222,37.65,"CATHOLIC","ONCEPERWEEK","EVERYDAY","NO",1,"AGREE","DISAGREE","DISAGREE","AGREE",19,25,0,17,3610,1,1,2,9
"127","Z4N","TRZ","F","MESTIZO",40.4166666666667,31.7693905817175,37.65,"NONE","NEVER","EVERYDAY","YES",11,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",18,150,0,2,25610,2,1,1,9
"128","Z50","T34","F","AFROCOLOMBIAN",62.25,27.6609698699896,34.975,"CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",13,"DISAGREE","AGREE","AGREE","AGREE",19,147,2,4,5420,1,1,1,8
"129","ZM9","BND","M","AFROCOLOMBIAN",52.3333333333333,26.7736584236719,41.475,"CATHOLIC","MORETHANONCEPERWEEK","EVERYDAY","NO",18,"AGREE","AGREE","AGREE","DISAGREE",20,109,0,5,11850,1,1,2,12
"130","ZQG","RMA","F","AFROCOLOMBIAN",67.25,21.4453125,17.75,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,73,0,6,1530,2,1,1,1
"131","ZQU","PYC","F","AFROCOLOMBIAN",29,28.6876097863957,40.875,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,99,0,1,15763,2,2,2,22
"132","ZRN","K55","M","EMBERA",22.5,21.5655260213726,28.875,"CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",15,"AGREE","DISAGREE","AGREE","DISAGREE",18,0,0,4,820,1,2,1,18
"133","ZXH","S0B","F","AFROCOLOMBIAN",22.5,24.6247259234272,28.75,"CATHOLIC","ONCEPERWEEK","EVERYDAY","DONTKNOW",13,"AGREE","DISAGREE","DISAGREE","DISAGREE",18,115,0,1,3830,1,1,2,8
"134","ZYK","CF9","M","AFROCOLOMBIAN",63.5,22.3026999892431,32,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",19,130,0,0,4810,2,2,2,3
"135","ZZS","MA6","F","AFROCOLOMBIAN",76.3333333333333,30.7242429097901,25.2,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",0,"AGREE","DISAGREE","AGREE","AGREE",16,59,0,8,4750,2,1,2,5
"136","YZF","ENE","F","AFROCOLOMBIAN",27.1666666666667,26.3052027487459,18,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",15,"DISAGREE","DISAGREE","AGREE","DONTKNOW",NA,NA,NA,2,9180,2,1,2,33
"137","RDQ","ADA","M","MESTIZO",65.1666666666667,23.9075616840627,50.675,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",5,"AGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,14,4680,2,1,2,3
"138","BUJ","M8K","F","AFROCOLOMBIAN",19.1666666666667,21.6028850530444,28.275,"CATHOLIC","NEVER","AFEWTIMESPERWEEK","YES",13,"DISAGREE","AGREE","AGREE","DONTKNOW",NA,NA,NA,0,8150,2,2,1,2
"139","C93","UMC","M","EMBERA",24.3333333333333,25.0314414377865,41.25,"NONE","ONCEPERWEEK","EVERYDAY","YES",2,"AGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,3,350,1,1,1,25
"140","Q7R","JE5","M","AFROCOLOMBIAN",49.75,18.989898989899,19.15,"CATHOLIC","AFEWTIMESPERMONTH","NEVER","YES",0,"AGREE","AGREE","DISAGREE","AGREE",NA,NA,NA,0,4430,2,2,1,5
"141","ZNY","TH5","F","MESTIZO",19.8333333333333,28.515625,21.875,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",9,"DISAGREE","DISAGREE","AGREE","AGREE",NA,NA,NA,0,16030,2,1,1,12
"142","MC1","QA3","M","AFROCOLOMBIAN",67.8333333333333,23.046875,40.175,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",1,"AGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,5,4760,2,1,2,8
"143","AK0","BZ3","F","AFROCOLOMBIAN",23.9166666666667,24.7425205932489,23.5,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",13,"AGREE","AGREE","AGREE","DISAGREE",NA,NA,NA,1,13540,2,1,1,44
"144","U8D","MA6","M","AFROCOLOMBIAN",32.5833333333333,24.904214559387,43.725,"NONE","NEVER","NEVER","YES",6,"AGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,3,4750,2,2,1,15
"145","DGV","AQ6","M","AFROCOLOMBIAN",57.25,16.8882401308192,28.85,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",7,"AGREE","AGREE","DISAGREE","DISAGREE",NA,NA,NA,0,4630,2,1,1,4
"146","NC6","UMC","F","EMBERA",21.75,25.7213849592329,22,"CATHOLIC","AFEWTIMESPERMONTH","NEVER","NO",0,"AGREE","AGREE","DISAGREE","DISAGREE",NA,NA,NA,3,350,2,2,2,6
"147","FPJ","ENE","M","AFROCOLOMBIAN",32.3333333333333,24.700693131695,55.6,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","YES",11,"AGREE","DISAGREE","DISAGREE","AGREE",NA,NA,NA,1,9180,2,2,1,45
"148","XU0","ADA","F","MESTIZO",41.8333333333333,28.5097025577717,19.925,"CATHOLIC","NEVER","EVERYDAY","YES",2,"AGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,6,4680,2,1,1,4
"149","G8F","BME","M","AFROCOLOMBIAN",49.5833333333333,23.9290508298353,52.425,"CHRISTIAN","MORETHANONCEPERWEEK","EVERYDAY","NO",1,"AGREE","AGREE","DISAGREE","AGREE",NA,NA,NA,1,3361.4,1,1,2,8
